ID Region,ID,Nombre
13,130502,"Talagante"
13,130503,"El Monte"
13,130504,"Isla de Maipo"
13,130601,"Curacavi"
13,130602,"María Pinto"
13,130603,"Melipilla"
13,130604,"San Pedro"
13,130605,"Alhué"
13,130606,"Padre Hurtado"
14,100101,"Lanco"
14,100102,"Mariquina"
14,100103,"Panguipulli"
14,100104,"Mafil"
14,100105,"Valdivia"
14,100106,"Los Lagos"
14,100107,"Corral"
14,100108,"Paillaco"
14,100109,"Futrono"
14,100110,"Lago Ranco"
14,100111,"La Union"
14,100112,"Rio Bueno"
15,10101,"Gral. Lagos"
15,10102,"Putre"
15,10201,"Arica"
15,10202,"Camarones"
